word,aspect,head_word,head_word_tag_new,lematized_words,ner,next_words,ortho_features,pos_tag,post_word_tag,pre_word_tag,prev_words,stopword,token_freq,word_len
I,0,1,PRP,I,0,charge,1,PRP,VBP,,,0,1,0
charge,0,0,,charge,0,it,0,VBP,PRP,PRP,I,0,1,1
it,0,1,PRP,it,0,at,0,PRP,IN,VBP,charge,1,1,0
at,0,0,,at,0,night,0,IN,NN,PRP,it,1,1,0
night,0,1,NN,night,0,and,0,NN,CC,IN,at,0,1,1
and,0,0,,and,0,skip,0,CC,NN,NN,night,1,1,0
skip,0,0,,skip,0,taking,0,NN,VBG,CC,and,0,1,1
taking,0,0,,take,0,the,0,VBG,DT,NN,skip,0,1,1
the,0,0,,the,0,cord,0,DT,NN,VBG,taking,1,2,0
cord,1,1,NN,cord,0,with,0,NN,IN,DT,the,0,1,1
with,0,0,,with,0,me,0,IN,PRP,NN,cord,1,1,1
me,0,1,PRP,me,0,because,0,PRP,IN,IN,with,1,1,0
because,0,0,,because,0,of,0,IN,IN,PRP,me,1,1,1
of,0,0,,of,0,the,0,IN,DT,IN,because,1,1,0
the,0,0,,the,0,good,0,DT,JJ,IN,of,1,2,0
good,0,0,,good,0,battery,0,JJ,NN,DT,the,0,1,1
battery,1,1,NN,battery,0,life,0,NN,NN,JJ,good,0,1,1
life,0,1,NN,life,0,,0,NN,,NN,battery,0,1,1
I,0,1,PRP,I,0,bought,1,PRP,VBD,,,0,1,0
bought,0,0,,buy,0,a,0,VBD,DT,PRP,I,0,1,1
a,0,0,,a,0,HP,0,DT,NNP,VBD,bought,1,1,0
HP,0,0,,HP,0,Pavilion,0,NNP,NNP,DT,a,0,1,0
Pavilion,0,0,,Pavilion,0,DV4,1,NNP,NNP,NNP,HP,0,1,1
DV4,0,0,,DV4,0,1222nr,0,NNP,CD,NNP,Pavilion,0,1,0
1222nr,0,0,,1222nr,0,laptop,0,CD,NN,NNP,DV4,0,1,1
laptop,0,1,NN,laptop,0,and,0,NN,CC,CD,1222nr,0,1,1
and,0,0,,and,0,have,0,CC,VBP,NN,laptop,1,1,0
have,0,0,,have,0,had,0,VBP,VBN,CC,and,1,1,1
had,0,0,,have,0,so,0,VBN,RB,VBP,have,1,1,0
so,0,0,,so,0,many,0,RB,JJ,VBN,had,1,1,0
many,0,0,,many,0,problems,0,JJ,NNS,RB,so,0,1,1
problems,0,1,NNS,problems,0,with,0,NNS,IN,JJ,many,0,1,1
with,0,0,,with,0,the,0,IN,DT,NNS,problems,1,1,1
the,0,0,,the,0,computer,0,DT,NN,IN,with,1,1,0
computer,0,1,NN,computer,0,,0,NN,,DT,the,0,1,1
The,0,0,,The,0,tech,1,DT,NN,,,0,1,0
tech,1,0,,tech,0,guy,0,NN,NN,DT,The,0,1,1
guy,0,1,NN,guy,0,then,0,NN,RB,NN,tech,0,1,0
then,0,0,,then,0,said,0,RB,VBD,NN,guy,1,1,1
said,0,0,,say,0,the,0,VBD,DT,RB,then,0,1,1
the,0,0,,the,0,service,0,DT,NN,VBD,said,1,3,0
service,1,0,,service,0,center,0,NN,NN,DT,the,0,1,1
center,0,1,NN,center,0,does,0,NN,VBZ,NN,service,0,1,1
does,0,0,,do,0,not,0,VBZ,RB,NN,center,1,1,1
not,0,0,,not,0,do,0,RB,VB,VBZ,does,1,1,0
do,0,0,,do,0,1,0,VB,CD,RB,not,1,1,0
1,0,0,,1,0,to,1,CD,TO,VB,do,0,2,0
to,0,0,,to,0,1,0,TO,CD,CD,1,1,3,0
1,0,0,,1,0,exchange,1,CD,NN,TO,to,0,2,0
exchange,0,1,NN,exchange,0,and,0,NN,CC,CD,1,0,1,1
and,0,0,,and,0,I,0,CC,PRP,NN,exchange,1,1,0
I,0,1,PRP,I,0,have,1,PRP,VBP,CC,and,0,2,0
have,0,0,,have,0,to,0,VBP,TO,PRP,I,1,1,1
to,0,0,,to,0,direct,0,TO,VB,VBP,have,1,3,0
direct,0,0,,direct,0,my,0,VB,PRP$,TO,to,0,1,1
my,0,0,,my,0,concern,0,PRP$,NN,VB,direct,1,2,0
concern,0,1,NN,concern,0,to,0,NN,TO,PRP$,my,0,1,1
to,0,0,,to,0,the,0,TO,DT,NN,concern,1,3,0
the,0,0,,the,0,sales,0,DT,NNS,TO,to,1,3,0
sales,1,0,,sale,0,team,0,NNS,NN,DT,the,0,1,1
team,0,1,NN,team,0,which,0,NN,WDT,NNS,sales,0,1,1
which,0,0,,which,0,is,0,WDT,VBZ,NN,team,1,2,1
is,0,0,,be,0,the,0,VBZ,DT,WDT,which,1,1,0
the,0,0,,the,0,retail,0,DT,JJ,VBZ,is,1,3,0
retail,0,0,,retail,0,shop,0,JJ,NN,DT,the,0,1,1
shop,0,1,NN,shop,0,which,0,NN,WDT,JJ,retail,0,1,1
which,0,0,,which,0,I,0,WDT,PRP,NN,shop,1,2,1
I,0,1,PRP,I,0,bought,1,PRP,VBD,WDT,which,0,2,0
bought,0,0,,buy,0,my,0,VBD,PRP$,PRP,I,0,1,1
my,0,0,,my,0,netbook,0,PRP$,NN,VBD,bought,1,2,0
netbook,0,1,NN,netbook,0,from,0,NN,IN,PRP$,my,0,1,1
from,0,0,,from,0,,0,IN,,NN,netbook,1,1,1
I,0,1,PRP,I,0,investigated,1,PRP,VBD,,,0,1,0
investigated,0,0,,investigate,0,netbooks,0,VBD,NNS,PRP,I,0,1,1
netbooks,0,1,NNS,netbooks,0,and,0,NNS,CC,VBD,investigated,0,1,1
and,0,0,,and,0,saw,0,CC,VBD,NNS,netbooks,1,1,0
saw,0,0,,saw,0,the,0,VBD,DT,CC,and,0,1,0
the,0,0,,the,0,Toshiba,0,DT,NNP,VBD,saw,1,1,0
Toshiba,0,1,NNP,Toshiba,1,NB305,1,NNP,NNP,DT,the,0,1,1
NB305,0,0,,NB305,0,N410BL,0,NNP,NNP,NNP,Toshiba,0,1,1
N410BL,0,0,,N410BL,0,,0,NNP,,NNP,NB305,0,1,1
The,0,0,,The,0,other,1,DT,JJ,,,0,1,0
other,0,0,,other,0,day,0,JJ,NN,DT,The,1,1,1
day,0,1,NN,day,0,I,0,NN,PRP,JJ,other,0,1,0
I,0,1,PRP,I,0,had,1,PRP,VBD,NN,day,0,1,0
had,0,0,,have,0,a,0,VBD,DT,PRP,I,1,1,0
a,0,0,,a,0,presentation,0,DT,NN,VBD,had,1,5,0
presentation,0,1,NN,presentation,0,to,0,NN,TO,DT,a,0,1,1
to,0,0,,to,0,do,0,TO,VB,NN,presentation,1,4,0
do,0,0,,do,0,for,0,VB,IN,TO,to,1,1,0
for,0,0,,for,0,a,0,IN,DT,VB,do,1,1,0
a,0,0,,a,0,seminar,0,DT,NN,IN,for,1,5,0
seminar,0,1,NN,seminar,0,at,0,NN,IN,DT,a,0,1,1
at,0,0,,at,0,a,0,IN,DT,NN,seminar,1,1,0
a,0,0,,a,0,large,0,DT,JJ,IN,at,1,5,0
large,0,0,,large,0,conference,0,JJ,NN,DT,a,0,1,1
conference,0,1,NN,conference,0,in,0,NN,IN,JJ,large,0,1,1
in,0,0,,in,0,town,0,IN,NN,NN,conference,1,1,0
town,0,1,NN,town,0,lots,0,NN,NNS,IN,in,0,1,1
lots,0,1,NNS,lot,0,of,0,NNS,IN,NN,town,0,1,1
of,0,0,,of,0,people,0,IN,NNS,NNS,lots,1,1,0
people,0,1,NNS,people,0,little,0,NNS,JJ,IN,of,0,1,1
little,0,0,,little,0,time,0,JJ,NN,NNS,people,0,1,1
time,0,1,NN,time,0,to,0,NN,TO,JJ,little,0,1,1
to,0,0,,to,0,prep,0,TO,VB,NN,time,1,4,0
prep,0,0,,prep,0,and,0,VB,CC,TO,to,0,1,1
and,0,0,,and,0,have,0,CC,VB,VB,prep,1,1,0
have,0,0,,have,0,to,0,VB,TO,CC,and,1,1,1
to,0,0,,to,0,set,0,TO,VB,VB,have,1,4,0
set,0,0,,set,0,up,0,VB,RP,TO,to,0,1,0
up,0,0,,up,0,a,0,RP,DT,VB,set,1,1,0
a,0,0,,a,0,computer,0,DT,NN,RP,up,1,5,0
computer,0,1,NN,computer,0,to,0,NN,TO,DT,a,0,1,1
to,0,0,,to,0,a,0,TO,DT,NN,computer,1,4,0
a,0,0,,a,0,projector,0,DT,NN,TO,to,1,5,0
projector,0,1,NN,projector,0,etc,0,NN,NN,DT,a,0,1,1
etc,0,0,,etc,0,,0,NN,,NN,projector,0,1,0
it,0,1,PRP,it,0,is,0,PRP,VBZ,,,1,1,0
is,0,0,,be,0,of,0,VBZ,IN,PRP,it,1,6,0
of,0,0,,of,0,high,0,IN,JJ,VBZ,is,1,2,0
high,0,0,,high,0,quality,0,JJ,NN,IN,of,0,1,1
quality,1,1,NN,quality,0,has,0,NN,VBZ,JJ,high,0,1,1
has,0,0,,have,0,a,0,VBZ,DT,NN,quality,1,1,0
a,0,0,,a,0,killer,0,DT,NN,VBZ,has,1,1,0
killer,0,0,,killer,0,GUI,0,NN,NNP,DT,a,0,1,1
GUI,1,1,NNP,GUI,1,is,0,NNP,VBZ,NN,killer,0,1,0
is,0,0,,be,0,extremely,0,VBZ,RB,NNP,GUI,1,6,0
extremely,0,0,,extremely,0,stable,0,RB,JJ,VBZ,is,0,1,1
stable,0,0,,stable,0,is,0,JJ,VBZ,RB,extremely,0,1,1
is,0,0,,be,0,highly,0,VBZ,RB,JJ,stable,1,6,0
highly,0,0,,highly,0,expandable,0,RB,JJ,VBZ,is,0,1,1
expandable,0,0,,expandable,0,is,0,JJ,VBZ,RB,highly,0,1,1
is,0,0,,be,0,bundled,0,VBZ,VBN,JJ,expandable,1,6,0
bundled,0,0,,bundle,0,with,0,VBN,IN,VBZ,is,0,1,1
with,0,0,,with,0,lots,0,IN,NNS,VBN,bundled,1,1,1
lots,0,1,NNS,lot,0,of,0,NNS,IN,IN,with,0,1,1
of,0,0,,of,0,very,0,IN,RB,NNS,lots,1,2,0
very,0,0,,very,0,good,0,RB,JJ,IN,of,1,1,1
good,0,0,,good,0,applications,0,JJ,NNS,RB,very,0,1,1
applications,1,1,NNS,applications,0,is,0,NNS,VBZ,JJ,good,0,1,1
is,0,0,,be,0,easy,0,VBZ,JJ,NNS,applications,1,6,0
easy,0,0,,easy,0,to,0,JJ,TO,VBZ,is,0,1,1
to,0,0,,to,0,use,0,TO,VB,JJ,easy,1,1,0
use,1,0,,use,0,and,0,VB,CC,TO,to,0,1,0
and,0,0,,and,0,is,0,CC,VBZ,VB,use,1,1,0
is,0,0,,be,0,absolutely,0,VBZ,RB,CC,and,1,6,0
absolutely,0,0,,absolutely,0,gorgeous,0,RB,JJ,VBZ,is,0,1,1
gorgeous,0,0,,gorgeous,0,,0,JJ,,RB,absolutely,0,1,1
Easy,0,0,,Easy,1,to,1,NNP,TO,,,0,1,1
to,0,0,,to,0,start,0,TO,VB,NNP,Easy,1,1,0
start,1,0,,start,0,up,0,VB,RP,TO,to,0,1,1
up,1,0,,up,0,and,0,RP,CC,VB,start,1,1,0
and,0,0,,and,0,does,0,CC,VBZ,RP,up,1,1,0
does,0,0,,do,0,not,0,VBZ,RB,CC,and,1,1,1
not,0,0,,not,0,overheat,0,RB,VB,VBZ,does,1,1,0
overheat,0,0,,overheat,0,as,0,VB,RB,RB,not,0,1,1
as,0,0,,as,0,much,0,RB,JJ,VB,overheat,1,2,0
much,0,0,,much,0,as,0,JJ,IN,RB,as,0,1,1
as,0,0,,as,0,other,0,IN,JJ,JJ,much,1,2,0
other,0,0,,other,0,laptops,0,JJ,NNS,IN,as,1,1,1
laptops,0,1,NNS,laptops,0,,0,NNS,,JJ,other,0,1,1
Sad,0,0,,Sad,1,very,1,JJ,RB,,,0,1,0
very,0,0,,very,0,SAD,0,RB,JJ,JJ,Sad,1,1,1
SAD,0,0,,SAD,1,,0,JJ,,RB,very,0,1,0
I,0,1,PRP,I,0,even,1,PRP,RB,,,0,1,0
even,0,0,,even,0,got,0,RB,VBD,PRP,I,0,1,1
got,0,0,,get,0,my,0,VBD,PRP$,RB,even,0,1,0
my,0,0,,my,0,teenage,0,PRP$,NN,VBD,got,1,1,0
teenage,0,0,,teenage,0,son,0,NN,NN,PRP$,my,0,1,1
son,0,0,,son,0,one,0,NN,CD,NN,teenage,0,1,0
one,0,1,CD,one,0,because,0,CD,IN,NN,son,0,1,0
because,0,0,,because,0,of,0,IN,IN,CD,one,1,1,1
of,0,0,,of,0,the,0,IN,DT,IN,because,1,1,0
the,0,0,,the,0,features,0,DT,NNS,IN,of,1,1,0
features,1,1,NNS,feature,0,that,0,NNS,IN,DT,the,0,1,1
that,0,0,,that,0,it,0,IN,PRP,NNS,features,1,1,1
it,0,1,PRP,it,0,offers,0,PRP,VBZ,IN,that,1,1,0
offers,0,0,,offer,0,like,0,VBZ,IN,PRP,it,0,1,1
like,0,0,,like,0,iChat,0,IN,WP,VBZ,offers,0,1,1
iChat,1,1,WP,iChat,0,Photobooth,0,WP,NNP,IN,like,0,1,1
Photobooth,1,1,NNP,Photobooth,1,garage,1,NNP,NN,WP,iChat,0,1,1
garage,1,0,,garage,0,band,0,NN,NN,NNP,Photobooth,0,1,1
band,1,1,NN,band,0,and,0,NN,CC,NN,garage,0,1,1
and,0,0,,and,0,more,0,CC,JJR,NN,band,1,1,0
more,0,1,JJR,more,0,,0,JJR,,CC,and,1,1,1
Needless,0,0,,Needless,1,to,1,NN,TO,,,0,1,1
to,0,0,,to,0,say,0,TO,VB,NN,Needless,1,1,0
say,0,0,,say,0,a,0,VB,DT,TO,to,0,1,0
a,0,0,,a,0,PC,0,DT,NN,VB,say,1,2,0
PC,0,1,NN,PC,0,that,0,NN,WDT,DT,a,0,1,0
that,0,0,,that,0,can,0,WDT,MD,NN,PC,1,1,1
can,0,0,,can,0,not,0,MD,RB,WDT,that,1,1,0
not,0,0,,not,0,support,0,RB,VB,MD,can,1,1,0
support,0,0,,support,0,a,0,VB,DT,RB,not,0,1,1
a,0,0,,a,0,cell,0,DT,NN,VB,support,1,2,0
cell,0,0,,cell,0,phone,0,NN,NN,DT,a,0,1,1
phone,0,1,NN,phone,0,is,0,NN,VBZ,NN,cell,0,1,1
is,0,0,,be,0,less,0,VBZ,JJR,NN,phone,1,1,0
less,0,0,,less,0,than,0,JJR,IN,VBZ,is,0,1,1
than,0,0,,than,0,useless,0,IN,NN,JJR,less,1,1,1
useless,0,0,,useless,0,,0,NN,,IN,than,0,1,1
Great,0,0,,Great,1,laptop,1,NNP,VBZ,,,0,1,1
laptop,0,1,VBZ,laptop,0,that,0,VBZ,IN,NNP,Great,0,1,1
that,0,0,,that,0,offers,0,IN,VBZ,VBZ,laptop,1,1,1
offers,0,0,,offer,0,many,0,VBZ,JJ,IN,that,0,1,1
many,0,0,,many,0,great,0,JJ,JJ,VBZ,offers,0,1,1
great,0,0,,great,0,features,0,JJ,NNS,JJ,many,0,1,1
features,0,1,NNS,feature,0,,0,NNS,,JJ,great,0,1,1
they,0,1,PRP,they,0,have,0,PRP,VBP,,,1,1,1
have,0,0,,have,0,done,0,VBP,VBN,PRP,they,1,1,1
done,0,0,,do,0,absolutely,0,VBN,RB,VBP,have,0,1,1
absolutely,0,0,,absolutely,0,nothing,0,RB,NN,VBN,done,0,1,1
nothing,0,1,NN,nothing,0,to,0,NN,TO,RB,absolutely,0,1,1
to,0,0,,to,0,fix,0,TO,VB,NN,nothing,1,1,0
fix,0,0,,fix,0,the,0,VB,DT,TO,to,0,1,0
the,0,0,,the,0,computer,0,DT,NN,VB,fix,1,1,0
computer,0,1,NN,computer,0,problem,0,NN,NN,DT,the,0,1,1
problem,0,1,NN,problem,0,,0,NN,,NN,computer,0,1,1
One,0,0,,One,0,night,1,CD,NN,,,0,1,0
night,0,1,NN,night,0,I,0,NN,PRP,CD,One,0,1,1
I,0,1,PRP,I,0,turned,1,PRP,VBD,NN,night,0,2,0
turned,0,0,,turn,0,the,0,VBD,DT,PRP,I,0,1,1
the,0,0,,the,0,freaking,0,DT,JJ,VBD,turned,1,2,0
freaking,0,0,,freak,0,thing,0,JJ,NN,DT,the,0,1,1
thing,0,1,NN,thing,0,off,0,NN,RP,JJ,freaking,0,1,1
off,0,0,,off,0,after,0,RP,IN,NN,thing,1,1,0
after,0,0,,after,0,using,0,IN,VBG,RP,off,1,1,1
using,0,0,,use,0,it,0,VBG,PRP,IN,after,0,1,1
it,0,1,PRP,it,0,the,0,PRP,DT,VBG,using,1,3,0
the,0,0,,the,0,next,0,DT,JJ,PRP,it,1,2,0
next,0,0,,next,0,day,0,JJ,NN,DT,the,0,1,1
day,0,1,NN,day,0,I,0,NN,PRP,JJ,next,0,1,0
I,0,1,PRP,I,0,turn,1,PRP,VBP,NN,day,0,2,0
turn,0,0,,turn,0,it,0,VBP,PRP,PRP,I,0,1,1
it,0,1,PRP,it,0,on,0,PRP,IN,VBP,turn,1,3,0
on,0,0,,on,0,no,0,IN,DT,PRP,it,1,1,0
no,0,0,,no,0,GUI,0,DT,NNP,IN,on,1,1,0
GUI,0,1,NNP,GUI,0,screen,0,NNP,NN,DT,no,0,1,0
screen,1,1,NN,screen,0,all,0,NN,DT,NNP,GUI,0,1,1
all,0,0,,all,0,dark,0,DT,JJ,NN,screen,1,1,0
dark,0,1,JJ,dark,0,power,0,JJ,NN,DT,all,0,1,1
power,1,0,,power,0,light,0,NN,VBD,JJ,dark,0,1,1
light,1,1,VBD,light,0,steady,0,VBD,JJ,NN,power,0,2,1
steady,0,0,,steady,0,hard,0,JJ,JJ,VBD,light,0,2,1
hard,1,0,,hard,0,drive,0,JJ,NN,JJ,steady,0,1,1
drive,1,0,,drive,0,light,0,NN,NN,JJ,hard,0,1,1
light,1,1,NN,light,0,steady,0,NN,JJ,NN,drive,0,2,1
steady,0,0,,steady,0,and,0,JJ,CC,NN,light,0,2,1
and,0,0,,and,0,not,0,CC,RB,JJ,steady,1,1,0
not,0,0,,not,0,flashing,0,RB,VBG,CC,and,1,1,0
flashing,0,0,,flash,0,as,0,VBG,IN,RB,not,0,1,1
as,0,0,,as,0,it,0,IN,PRP,VBG,flashing,1,1,0
it,0,1,PRP,it,0,usually,0,PRP,RB,IN,as,1,3,0
usually,0,0,,usually,0,does,0,RB,VBZ,PRP,it,0,1,1
does,0,0,,do,0,,0,VBZ,,RB,usually,1,1,1
Still,0,0,,Still,0,pretty,1,RB,RB,,,0,1,1
pretty,0,0,,pretty,0,pricey,0,RB,JJ,RB,Still,0,1,1
pricey,0,0,,pricey,0,but,0,JJ,CC,RB,pretty,0,1,1
but,0,0,,but,0,I,0,CC,PRP,JJ,pricey,1,1,0
I,0,1,PRP,I,0,have,1,PRP,VBP,CC,but,0,1,0
have,0,0,,have,0,been,0,VBP,VBN,PRP,I,1,1,1
been,0,0,,be,0,putting,0,VBN,VBG,VBP,have,1,1,1
putting,0,0,,put,0,off,0,VBG,RP,VBN,been,0,1,1
off,0,0,,off,0,money,0,RP,NN,VBG,putting,1,1,0
money,0,1,NN,money,0,for,0,NN,IN,RP,off,0,1,1
for,0,0,,for,0,a,0,IN,DT,NN,money,1,1,0
a,0,0,,a,0,while,0,DT,NN,IN,for,1,2,0
while,0,1,NN,while,0,as,0,NN,IN,DT,a,1,1,1
as,0,0,,a,0,a,0,IN,DT,NN,while,1,1,0
a,0,0,,a,0,little,0,DT,JJ,IN,as,1,2,0
little,0,0,,little,0,Macbook,0,JJ,NNP,DT,a,0,1,1
Macbook,0,0,,Macbook,0,Fund,1,NNP,NNP,JJ,little,0,1,1
Fund,0,1,NNP,Fund,0,and,1,NNP,CC,NNP,Macbook,0,1,1
and,0,0,,and,0,finally,0,CC,RB,NNP,Fund,1,1,0
finally,0,0,,finally,0,got,0,RB,VBD,CC,and,0,1,1
got,0,0,,get,0,to,0,VBD,TO,RB,finally,0,1,0
to,0,0,,to,0,use,0,TO,VB,VBD,got,1,1,0
